date,venue,home_team_raw,away_team_raw,home_goals,away_goals,status
2026-03-21T20:00Z,Estádio Onésio Brasileiro Alvarenga,Vila Nova,CRB,2,2,played
2026-03-21T21:00Z,Arena Castelão,Ceará,São Bernardo,1,1,played
2026-03-21T21:15Z,Germano Krüger,Operário PR,Atlético Goianiense,1,0,played
2026-03-21T22:15Z,Estádio Santa Cruz,Botafogo-SP,Fortaleza,4,0,played
2026-03-21T23:30Z,Arena Pantanal,Cuiabá,Sport,0,0,played
2026-03-22T19:00Z,Estádio da Ressacada,Avaí,Juventude,2,0,played
2026-03-22T19:00Z,Estádio dos Aflitos,Náutico,Criciúma,0,1,played
2026-03-22T21:00Z,Estádio Joaquim Portugal,Athletic,Ponte Preta,2,1,played
2026-03-22T21:00Z,Estádio da Serrinha,Goiás,América Mineiro,3,1,played
2026-03-22T23:00Z,Estádio Dr. Jorge Ismael de Biasi,Novorizontino,Londrina,1,3,played
2026-03-31T21:30Z,Alfredo Jaconi,Juventude,Novorizontino,0,0,played
2026-03-31T22:00Z,Arena Castelão,Fortaleza,Cuiabá,0,0,played
2026-04-01T21:00Z,Arena MRV,América Mineiro,Botafogo-SP,1,2,played
2026-04-01T22:00Z,Estádio Antônio Accioly,Atlético Goianiense,Náutico,1,2,played
2026-04-01T22:00Z,Estadio VGD,Londrina,Goiás,2,2,played
2026-04-01T22:00Z,Ilha do Retiro,Sport,Vila Nova,1,1,played
2026-04-02T00:00Z,Moisés Lucarelli,Ponte Preta,Ceará,1,1,played
2026-04-02T00:30Z,Estádio Rei Pelé,CRB,Avaí,0,1,played
2026-04-02T00:30Z,Heriberto Hülse,Criciúma,Athletic,1,1,played
2026-04-02T22:00Z,Estádio Primeiro de Maio,São Bernardo,Operário PR,1,2,played
2026-04-04T19:00Z,Arena Castelão,Fortaleza,Juventude,2,1,played
2026-04-04T21:00Z,Arena Pantanal,Cuiabá,Ceará,0,2,played
2026-04-04T21:00Z,Estádio dos Aflitos,Náutico,Ponte Preta,1,0,played
2026-04-04T23:00Z,Estádio Onésio Brasileiro Alvarenga,Vila Nova,Atlético Goianiense,2,1,played
